Order #,Purchase Date,Day,Order Status,Marketplace Seller,Seller_Raw,Attribute Set,Name,SKU,Qty Ordered,Item Price,Row Total,Discount Amount,Value After Discounts,Coupon Code,Customer Region,Payment Method,Purchase Point
2005537099,2026-05-01 17:23:10,May 01,Complete,MP,homecomfort,Air Conditioner,تكييف سبلت ميديا، 1.5 حصان، بارد فقط، MSCT-12CRN-Q8 - ابيض,AC53MSMB1T-12CRWITconf-homecomfort,1.0,21750.0,21750.0,0.0,21750.0,,القاهرة,Cash On Delivery,"Raneen
   Raneen Store
      العربية
"
2005574951,2026-05-08 10:34:36,May 08,Complete,raneen,raneen,Cookware,قلاية كريب جرانيت يد بكاليت عابدين، 30 سم,HO1074851FC1,1.0,319.0,319.0,15.95,303.05,KCH200,القاهرة,Cash On Delivery,"Raneen
   Raneen Store
      العربية
"
2005536364,2026-05-01 15:32:21,May 01,Complete,MP,attallah,Cookers,بوتاجاز غاز برستيج يونيون جاز، 5 شعلة، 60×85 سم - اسود,228-attallah,1.0,5899.0,5899.0,200.0,5699.0,la200,Cairo,Cash On Delivery,"Raneen
   Raneen Store
      العربية
"
2005579196,2026-05-08 23:33:22,May 08,Complete,MP,moblianamodel,Chairs,كرسي خشب زان قماش كتان كويا، 75×80×80 سم - ازرق,MOBMAD12,1.0,3999.0,3999.0,500.0,3499.0,OFF500,الأسكندرية,Cash On Delivery,"Raneen
   Raneen Store
      العربية
"
2005588841,2026-05-10 20:32:51,May 10,Complete,MP,craftfurniture,Center Table,ترابيزة وسط، خشب أم دي أف، 80×80×40 - بني,MZCTABLE1BRW-craftfurniture,1.0,1799.0,1799.0,0.0,1799.0,,الغربية,Credit/Debit Card,"Raneen
   Raneen Store
      العربية
"
2005540417,2026-05-02 05:11:12,May 02,Complete,raneen,raneen,Bed Sheets,طقم ملاية قماش مطبوع، 4 قطع، 215×235 سم - ازرق فاتح,TX1017810MR0,1.0,199.0,199.0,9.95,189.05,TEX200,الأسكندرية,Credit/Debit Card,"Raneen
   Raneen Store
      العربية
"
2005540417,2026-05-02 05:11:12,May 02,Complete,raneen,raneen,Bed Sheets,طقم ملاية سرير المروة، 4 قطع، 215×235 سم، 750 جرام - متعدد الالوان,TX1142743MO4,1.0,199.0,199.0,9.95,189.05,TEX200,الأسكندرية,Credit/Debit Card,"Raneen
   Raneen Store
      العربية
"
2005540417,2026-05-02 05:11:12,May 02,Complete,raneen,raneen,Bed Sheets,طقم ملاية قماش مطبوع، 4 قطع، 215×235 سم - احمر ابيض,TX1017810MR2,1.0,199.0,199.0,9.95,189.05,TEX200,الأسكندرية,Credit/Debit Card,"Raneen
   Raneen Store
      العربية
"
2005540417,2026-05-02 05:11:12,May 02,Complete,MP,alsafafurniture,Bedding,بطانية كهربائية كبيرة بوزن 1300 جرام من نانا سيكريت بمقاس 220x240 سم,RAN-V63BWVD,1.0,370.0,370.0,18.5,351.5,TEX200,الأسكندرية,Credit/Debit Card,"Raneen
   Raneen Store
      العربية
"
2005540417,2026-05-02 05:11:12,May 02,Complete,raneen,raneen,Bed Sheets,طقم ملاية مايكروفايبر إنستاجولد، 4 قطع، 240×240 سم1650 جرام - اوف وايت,TX1133087OF2,1.0,329.0,329.0,16.45,312.55,TEX200,الأسكندرية,Credit/Debit Card,"Raneen
   Raneen Store
      العربية
"
