Order #,Purchase Date,Day,Marketplace Seller,Seller_Raw,Attribute Set,Name,SKU,Qty Ordered,Item Price,Row Total,Discount Amount,Value After Discounts,Coupon Code,Customer Region,Payment Method
2006168273,2026-08-05 09:56:19,Aug 05,MP,radioelzaim,Mobile Phones,ابل ايفون 17 برو، 256 جيجابايت، eSIM - برتقالى ( الجهاز غير مفعل و السعر لا يشمل الضريبه) + باور بنك 30000M Wuw Y53 + سكرين حماية شاشة + جراب شفاف + شاحن حائطى Wuw C252,MA225-radioelzaim-No Active-RZGB,1.0,73900.0,73900.0,0.0,73900.0,,القاهرة,Souhoola
2006168267,2026-08-05 09:54:30,Aug 05,MP,elandalos,Air Conditioner,تكييف سبلت هاير، سمارت ايكو انفرتر، 1.5 حصان، بارد فقط، HSU-12KCRIC - ابيض,HSU-12KCSID-magicair-elandalos,1.0,20981.0,20981.0,0.0,20981.0,,المنوفية,valU
2006168264,2026-08-05 09:52:28,Aug 05,MP,coktailstore,Car Care,مكنسة كهربائية محمولة بواسطة USB من OVA للمنزل والسيارة - شفط قوي، خفيفة الوزن,RAN-EKZJGB2,1.0,149.0,149.0,0.0,149.0,,سوهاج,Paymob Wallet
2006168261,2026-08-05 09:43:02,Aug 05,raneen,raneen,Suction Fan,شفاط حائط رويال، 25 سم، بشبكة، اتجاهين، RH25 - ابيض,EL1114989WIT,3.0,519.0,1557.0,0.0,1557.0,,المنوفية,Aman
2006168258,2026-08-05 09:40:18,Aug 05,MP,alhamdwater,Power &amp; Hand Tools,مضخة مياه ماكس وان، بقدرة 1 حصان، ايطالى - أزرق,550MN,1.0,3100.0,3100.0,0.0,3100.0,,القليوبية,valU
2006168255,2026-08-05 09:39:04,Aug 05,MP,alabdeen,Air Conditioner,تكييف اسبليت ال جى سمارت انفرتر، 2.25 حصان، بارد/ساخن + حامل تركيب، S4-W18KL3AB - ابيض,ELKiT1476WIT-conf-alabdez,1.0,46358.0,46358.0,0.0,46358.0,,الدقهلية,Bank Misr Installments
4000159651,2026-08-05 09:33:55,Aug 05,raneen,raneen,Fans,"Fresh Galaxy Stand Fan, 16 Inch, 3 Blades, 3 Speeds - Blue",EL1059662BLU,1.0,1460.0,1460.0,0.0,1460.0,,Kafr El-Sheikh,Cash On Delivery
2006168252,2026-08-05 09:31:58,Aug 05,MP,dukanabdelaziz,Microwaves &amp; Ovens,فرن كهربائى بشواية ايكو فريش، 2000 وات، 48 لتر، FR-48 - اسود,EL1040027BLK-conf-dukanabdelaziz,1.0,3400.0,3400.0,0.0,3400.0,,القليوبية,Cash On Delivery
2006168249,2026-08-05 09:31:26,Aug 05,raneen,raneen,Bed Sheets,طقم ملاية سرير لازورد، 3 قطع، 170×240 سم - تركواز ابيض,TX1015868ME6,1.0,159.0,159.0,0.0,159.0,,الدقهلية,Credit/Debit Card
2006168246,2026-08-05 09:30:49,Aug 05,raneen,raneen,Bed Sheets,طقم ملاية سرير لازورد، 3 قطع، 170×240 سم - تركواز ابيض,TX1015868ME6,1.0,159.0,159.0,0.0,159.0,,الدقهلية,Premium Card
2006168243,2026-08-05 09:29:45,Aug 05,raneen,raneen,Bed Sheets,طقم ملاية سرير لازورد، 3 قطع، 170×240 سم - تركواز ابيض,TX1015868ME6,1.0,159.0,159.0,0.0,159.0,,الدقهلية,Credit/Debit Card
2006168240,2026-08-05 09:29:13,Aug 05,MP,naitghwooging,TV Table,ترابيزة تلفاز وترابيزه وسط مقاس 80*80، خشب ام دي اف، 30×200×35 سم - خشبى,naitghwooging-TV212,1.0,5999.0,5999.0,500.0,5499.0,OFF500,الدقهلية,Cash On Delivery
2006168237,2026-08-05 09:23:35,Aug 05,MP,craftfurniture,Center Table,ترابيزة وسط مودرن خشب ام دي اف، 40x100x40 سم - بني ابيض,MFnct135fu-craftfurniture,1.0,999.0,999.0,0.0,999.0,,الساحل الشمالي,Cash On Delivery
