Order #,Purchase Date,Day,Marketplace Seller,Seller_Raw,Attribute Set,Name,SKU,Qty Ordered,Item Price,Row Total,Discount Amount,Value After Discounts,Coupon Code,Customer Region,Payment Method
2006143541,2026-08-01 00:00:55,Aug 01,raneen,raneen,Drinkware,طقم مج زجاج كانديل، 3 قطع، 246 مل - شفاف طقم مج زجاج 3 قطعه سليندر 246 مللى شفاف - شياله,HO1144856CLR,2.0,41.0,82.0,0.0,82.0,,الأسكندرية,Premium Card
2006143541,2026-08-01 00:00:55,Aug 01,raneen,raneen,Kettles,غلاية كهربائية كلاسيك تاتش الزنوكى، 1.7 لتر، 2200 وات - اسود,EL1020613BLK,1.0,574.0,574.0,0.0,574.0,,الأسكندرية,Premium Card
2006143541,2026-08-01 00:00:55,Aug 01,raneen,raneen,Coffee Makers,كنكة قهوة كهربائية بلاستيك سيلكت، 500 مل، 350 وات - بنفسجي,EL1137883PPR,1.0,140.0,140.0,0.0,140.0,,الأسكندرية,Premium Card
2006143541,2026-08-01 00:00:55,Aug 01,raneen,raneen,Electronics Audio,سماعة صب ووفر لا سلكي جاما، 10 وات، 13×16×38 سم، بلوتوث، GT-443 - اسود احمر,EL1145735BK1,1.0,617.0,617.0,0.0,617.0,,الأسكندرية,Premium Card
2006143547,2026-08-01 00:02:10,Aug 01,raneen,raneen,Dinnerware,طقم عشاء اركوبال برادا، 42 قطعة - ابيض,HO1119358WI5,1.0,899.0,899.0,44.95,854.05,KCH200,القاهرة,Premium Card
2006143547,2026-08-01 00:02:10,Aug 01,raneen,raneen,Serveware,طقم شاي وجاتوه بورسلين لوتس، 24 قطعة - بترولي,HO1092489WIT,1.0,2999.0,2999.0,149.95,2849.05,KCH200,القاهرة,Premium Card
2006143556,2026-08-01 00:03:00,Aug 01,MP,unclesamlighting,Home Decor,اناء زرع بلاستيك ، 3 قطع - ابيض اخضر,7-unclesamlighting,1.0,182.0,182.0,0.0,182.0,,الجيزة,Cash On Delivery
2006143556,2026-08-01 00:03:00,Aug 01,raneen,raneen,Table Lighting,اباجورة مكتب بلاستيك، 20 سم - ابيض روز,HO1140477RS1,1.0,125.0,125.0,0.0,125.0,,الجيزة,Cash On Delivery
2006143556,2026-08-01 00:03:00,Aug 01,raneen,raneen,Table Lighting,اباجورة مكتب بلاستيك، 20 سم - ابيض ازرق فاتح,HO1140477LB1,1.0,125.0,125.0,0.0,125.0,,الجيزة,Cash On Delivery
2006143556,2026-08-01 00:03:00,Aug 01,raneen,raneen,Home Decor,طقم فازة ديكور جبس روقان، 3 قطع - ابيض ذهبي,HO1118805WI5,1.0,225.0,225.0,0.0,225.0,,الجيزة,Cash On Delivery
2006143553,2026-08-01 00:03:00,Aug 01,MP,radiotalaat,Kettles,كاتيل كهربائي سوكاني، 2 لتر، 1500 وات، SK-SH-1098 -  شفاف,189034,1.0,1139.0,1139.0,0.0,1139.0,,القاهرة,Cash On Delivery
2006143553,2026-08-01 00:03:00,Aug 01,MP,dukanabdelaziz,Fans,مروحة مكتب فريش سمارت، 16 بوصة، - رمادي,IST50000450513-dukanabdelaziz,1.0,1420.0,1420.0,0.0,1420.0,,القاهرة,Cash On Delivery
2006143553,2026-08-01 00:03:00,Aug 01,MP,attallah,Ladders &amp; Clothes Dryer,منشر غسيل معدني جوهار - احمر اصفر,MZDRYER1RNY-CONF-attallah,1.0,1350.0,1350.0,0.0,1350.0,,القاهرة,Cash On Delivery
2006143559,2026-08-01 00:03:30,Aug 01,raneen,raneen,TV Table,ترابيزة تلفاز خشب شيب بورد بأرجل خشب زان، 120×32×48 سم، 2 عين - بني فاتح,HO1125808BEG,1.0,1199.0,1199.0,0.0,1199.0,,القاهرة,Cash On Delivery
2006143565,2026-08-01 00:05:23,Aug 01,raneen,raneen,Shoe Rack,جزامة خشب أم دي اف اسباني، 100×110×30 سم، 3 ادراج قلاب - بني بيج,HO1099514BNB,1.0,4999.0,4999.0,500.0,4499.0,OFF500,القاهرة,Cash On Delivery
